任务Id,是否手工完成,任务名称,任务内容,级别限制,年龄限制,阵营限制,性别限制,职业限制,婚姻限制,发放任务的NPC,任务类型,任务性质,发放任务对话,杀戮要求,搜寻要求,传送要求,完成时间限制,验收任务的NPC,任务完成之前对话内容,任务完成之后NPC答复,任务奖励经验值,任务奖励金钱,任务奖励物品id,是否可重复完成,任务前续,力量限制,智力限制,敏捷限制,绝对限制,任务入口,任务出口
71,n,太子宿命,在花妖的身上找到皇家徽记，交给殷郊,22,,,,,,liangjinghu/yinjiao60,find,,你知道吗，我和弟弟可是皇子，真正的皇子，可惜那是很久以前的事情了，你想听我们的故事吗，去找回我的皇家徽记，我就会告诉你,,皇家徽记:1,,,liangjinghu/yinjiao60,那个东西确实不好找哦,多谢你帮我找回了身份的象征，现在来听听我们的故事吧，我和弟弟是商朝的最后一任皇子，没错，纣王是我们的父亲，但是他却不念父子之情，杀害了我们的母后，我和弟弟被昆仑派的道人所救，想要学艺报仇！当我们学成下山的时候，那个恶道！我永远记得他的名字，申公豹！我和弟弟都被他给欺骗了，做出了违背师命的事情，哎，我们现在这样也是天命啊，我们俩要不死，殷商又怎么能覆灭呢，一切都是命运啊！好久没人来和我说话了，多谢你能听完我讲的故事。,6000,2000,,,70,0,0,0,0,null,null
72,n,兄弟情,帮殷郊带话给殷洪,24,,,,,,liangjinghu/yinjiao60,send,,我弟弟在这里滥杀无辜，请你帮我劝他跟我一起去封神台好不好,,,,,liangjinghu/guixianyinhong40,你一定要帮我劝说他,你也是来帮哥哥做说客的吧，我不会听你说话的，你滚远点,7000,2100,,,71,0,0,0,0,null,null
73,n,河怪们,镜湖内的所有河怪，每种都消灭一只之后找殷郊复命,26,,,,,,liangjinghu/yinjiao60,kill,,天啊，好多的河怪在湖的周围游荡，请你去帮帮我，别让那些河怪伤害到我的弟弟,白影:1|影子刺客:1|月光兽:1|阴霾水蛇:1|雾影蜻蜓:1|独臂鬼:1|巨钳龙虾:1|八足水妖:1|鲶鱼精:1|铁甲乌龟:1|缠人水草:1|六爪鳄:1,,,,liangjinghu/yinjiao60,早点清扫那些河怪，还镜湖一个清静吧,辛苦你了,8000,1100,,1,72,0,0,0,0,null,null
74,n,怪事,在河怪的身上找到记忆晶石，交给殷郊,28,,,,,,liangjinghu/yinjiao60,find,,最近镜湖内很不太平啊，好像发生了很多血案，你能帮我调查一下原因吗,,记忆晶石:1,,,liangjinghu/yinjiao60,杀掉那些河怪，拿去他的记忆晶石,原来是这样，太可怕了,9000,2300,,,73,0,0,0,0,null,null
75,n,镜湖凤云,杀掉镜湖内的所有精英怪物,30,,,,,,liangjinghu/yinjiao60,kill,,原来镜湖最近出现了很多厉害的怪物，请你去杀掉他们,莲花君子:1|荷花仙姑:1|阴阳鱼:1|月影枭兽:1,,,,liangjinghu/yinjiao60,记得不要手下留情,真的难以让人相信，那些怪物都死了，为什么镜湖的空气还是充满邪气,10000,2400,,,74,0,0,0,0,null,null
76,n,【特殊】兄弟,杀掉鬼仙殷洪，释放他的灵魂,35,,,,,,liangjinghu/yinjiao60,kill,,我的弟弟，那个最可爱的孩子，现在已经彻底迷失了他的心智，成为一名鬼仙，求求你帮我超度他好吗，我真的不忍心自己下手,鬼仙殷洪:1,,,,liangjinghu/yinjiao60,我的弟弟，他才是镜湖的怪物以来的力量之源，请不要顾及我的感受，下手吧,万分感谢，让殷洪的灵魂得到了解放，镜湖也终于得到了解放,15000,3000,taskaward/saoxiayi:1,,75,0,0,0,0,null,null
77,n,云里雾境,杀掉小云妖、水雾魔怪、彩梦鸟、素蛟龙各一只之后向赤云复命,25,,,,,,penglaishuige/chiyun60,kill,,欢迎来到蓬莱仙境，这里是仙境的前院蓬莱水阁，我们可不是让你来享清福的，去帮我杀掉那些云海里的小妖吧，我会付你报酬的。,小云妖:1|水雾魔怪:1|彩梦鸟:1|素蛟龙:1,,,,penglaishuige/chiyun60,还不快去，别在这混日子,手脚还挺快的，以后你就跟着姐姐我们混吧,3000,1000,,1,,0,0,0,0,null,null
78,n,彩凤发钗,在彩梦鸟身上找到赤云丢掉的发钗，交还给她,27,,,,,,penglaishuige/chiyun60,find,,那只可恶的鸟偷走了公主的发钗，帮我找回发钗吧，能为公主效命是你的荣幸,,破损的彩凤发钗:1,,,penglaishuige/chiyun60,还不快去，别在这混日子,发钗有点破损了，算了，旧的不去，新的不来，送给你做报酬了,7000,0,task/posundecaifengfachai:1,,77,0,0,0,0,null,null
79,n,霞女碧云,找碧云报道,29,,,,,,penglaishuige/chiyun60,send,,我对你的工作还算满意，不过暂时没什么事情再给你做了，去找碧云吧，她会有工作分派给你,,,,,penglaishuige/biyun60,怎么，你还舍不得我吗，呵呵？,赤云派你过来的？看来这次送来的新仆人素质还不错吗,4000,1100,,,78,0,0,0,0,null,null
80,n,开始卖命,杀掉天水乌贼、棉絮妖、云海蟹怪、逐浪火鹤、吞云兽、怒雷兽、翻云蟹、云虾各一只之后找碧云复命,31,,,,,,penglaishuige/biyun60,kill,,去做点事情吧，杀掉那些潜藏在云海深处的怪物，这是对所有新仆人的考察,天水乌贼:1|棉絮妖:1|云海蟹怪:1|逐浪火鹤:1|吞云兽:1|怒雷兽:1|翻云蟹:1|云虾:1,,,,penglaishuige/biyun60,你连这么点小事也做不了吗？,不错，我就喜欢听话的仆人,9000,1100,,1,79,0,0,0,0,null,null
81,n,又是发钗,把破损的彩凤发钗交给碧云,33,,,,,,penglaishuige/biyun60,find,,我听赤云那个败家子说彩凤发钗在你这里？交出来给我吧,,破损的彩凤发钗:1,,,penglaishuige/biyun60,你连这么点小事也做不了吗？,这个东西可是至宝，只需要稍微修理一下就可以再用了,5000,3500,,,80,0,0,0,0,null,null
82,n,云之精华,找到20个云之精华交给碧云,35,,,,,,penglaishuige/biyun60,find,,我现在需要修复发钗，去找20个云之精华给我，云海里的怪都会掉落的,,云之精华:20,,,penglaishuige/biyun60,你连这么点小事也做不了吗？,云海这里已经没什么事情给你做了,100000,5000,,,81,0,0,0,0,null,null
83,n,还魂精油,杀死黑白斑鱼、尖牙食肉鱼、影蝴蝶鱼，收集30袋鱼籽，交给南海龙王,40,,,,,,waihai/nanhailongwang400,find,,帮我找30袋鱼籽做还魂精油,,鱼籽:30,,,waihai/nanhailongwang400,我这儿等着精油救人呢，别拖沓!速速取来~,辛苦你了，还魂精油成功完成，下面的东西就作为奖励吧,10000,5000,,1,,0,0,0,0,null,null
84,n,孩子的乐趣,收集20个长藤海豆芽的芽孢给南海龙王,41,,,,,,waihai/nanhailongwang400,find,,小王子要芽孢，我也没办法，快去找吧…,,芽孢:20,,,waihai/nanhailongwang400,小王子时不时就跟我吵闹，你也不想看我被逼疯了吧，快去快回…,你可真是帮了我的大忙了，这些钱给你吧,15000,5000,,,,0,0,0,0,null,null
85,n,丢失的兵器,抢夺持戟人鱼的兵器20把,42,,,,,,waihai/nanhailongwang400,find,,最近兵器库丢失了20把铜戟，想是持戟人鱼偷走了，帮忙找回来吧.,,铜戟:20,,,waihai/nanhailongwang400,这不算难吧，不属于他们的东西，快去抢回来…,嗯，这次的任务完成的不错，兵器数总算是对上了.这些给你买点吃的吧.,20000,10000,,,,0,0,0,0,null,null
86,n,捉鬼记,捉拿20个海蜇幽魂魂魄和20个妖鲵恶灵灵魄,43,,,,,,waihai/nanhailongwang400,find,,海蜇幽魂和妖鲵恶灵天天晚上鬼哭狼嚎的，快消灭他们，把魂魄带给我处置.,,魂魄:20|灵魄:20,,,waihai/nanhailongwang400,严重休息不足，快解决他们,真是太感谢你了:),20000,10000,,,,0,0,0,0,null,null
87,n,王妃的首饰,需要20个螺壳做首饰，皱纹岩螺、圆伞银螺、枯骨螺都可以,42,,,,,,waihai/nanhaiwangfei400,find,,首饰太少了，自己做一点，先帮我找20个螺壳回来吧.,,螺壳:20,,,waihai/nanhaiwangfei400,这点小事都办不好，以后还怎么委以重用啊!,不错，初步取得了我对你的信任，继续加油吧!,20000,10000,,,,0,0,0,0,null,null
88,n,材料不够,需要15个无壳金口海螺的金螺口和15颗三齿凤凰螺的凤凰螺齿,43,,,,,,waihai/nanhaiwangfei400,find,,材料不够，你再去找点金螺口和凤凰螺齿给我,,金螺口:15|凤凰螺齿:15,,,waihai/nanhaiwangfei400,任务还没完成，回来见我干嘛?,这次任务完成的挺好，以后有什么事情就找你了.,25000,10000,,,87,0,0,0,0,null,null
89,n,最后一点要求,需要20颗珍珠和10瓶毒瘤精华,44,,,,,,waihai/nanhaiwangfei400,find,,最后还需要20颗珍珠做装饰，和10瓶毒瘤精华保养首饰.珍珠螺那里有，你去找些回来吧.,,珍珠:20|毒瘤精华:10,,,waihai/nanhaiwangfei400,最后一步，我的项链和手链就要完成了，快给我找回来啊~~,哈哈，终于完成了，闪着莹莹精华的光，真漂亮，我不会亏待你的.,30000,10000,,,88,0,0,0,0,null,null
90,n,格杀勿论,杀死30个周军兵卒和30个商军兵卒，找董天君复命,31,,,,,,muye/dongtianjun400,kill,,这些兵卒总是很麻烦，去杀了他们！,周军兵卒:30|商军兵卒:30,,,,muye/dongtianjun400,没完成任务不要来见我，快去！,任务完成的不错，给你点儿奖励吧,5000,3000,,1,,0,0,0,0,null,null
91,n,粗壮的手臂,杀死刀斧手，得到20条蓝色手臂,33,,,,,,muye/dongtianjun400,find,,我需要蓝色手臂提炼毒素，不管是商军还是周军，刀斧手死后的蓝色手臂最合适，快去吧！,,蓝色手臂:20,,,muye/dongtianjun400,快去快回吧！,干的不错，以后会重用你的！,6000,3500,,,,0,0,0,0,null,null
92,n,击碎的铠甲,杀死枪兵，抢夺他们身上的铠甲，需要15件,34,,,,,,muye/dongtianjun400,find,,那些枪兵没了铠甲就不行，我要研究研究，你给我找15件来！,,破损的铠甲:15,,,muye/dongtianjun400,没什么问题，还不快去！,挺好，给你些钱做损失费吧，以后好好干！,6000,3500,,,,0,0,0,0,null,null
93,n,铁蹄铮铮,杀死骑兵，寻找20个闪光的图腾马蹄,35,,,,,,muye/dongtianjun400,find,,骑兵骏马的图腾马蹄很有玄机，你去给我找20个来！,,图腾马蹄:20,,,muye/dongtianjun400,没完成回来干嘛？！快去！,真是辛苦你了！完成的很好啊！,7000,4000,,,,0,0,0,0,null,null
94,n,兽性大发,杀死30头水火毒兽，找姬旦复命,35,,,,,,muye/jidan400,kill,,水火毒兽在附近肆虐，赶快消灭他们！,水火毒兽:30,,,,muye/jidan400,没什么完成不了的，尽管去做吧！,辛苦你了，继续努力修行吧！,7500,4000,,1,,0,0,0,0,null,null
95,n,灵蛇毒信,杀死大岩蛇，割下他们有毒的信子,36,,,,,,muye/jidan400,find,,大岩蛇有毒的信子可以驱寒，去找25条给我,,蛇信子:25,,,muye/jidan400,速速取来！~,不错，以后有事情会找你的！,7500,4000,,,,0,0,0,0,null,null
96,n,奇怪的头颅,杀死巨岩怪，取得他们的头颅10颗,37,,,,,,muye/jidan400,find,,巨岩怪死后头颅会变成坚硬的石头，你去取来10颗,,岩石头颅:10,,,muye/jidan400,快去快回！,很不错，给你点奖励！,8000,3000,,,,0,0,0,0,null,null
97,n,石斧的诱惑,杀死石斧投手，抢夺他们手中的石斧20枚,37,,,,,,muye/jidan400,find,,石斧投手手中的石斧非常厉害，此去小心啊~,,石斧:20,,,muye/jidan400,确实比较难，但还是赶快去抢吧！,完成的不错，又多了些作战的经验啊！~,10000,2000,,,,0,0,0,0,null,null
98,n,洞穴灵水,杀死石颅穴居人和毒瘤穴居人，取得他们身上可能携带的灵水20瓶，找姬旦复命,38,,,,,,muye/jidan400,find,,石颅穴居人和毒瘤穴居人身上带着洞穴里才有的神奇灵水，杀死他们，取20瓶给我,,洞穴灵水:20,,,muye/jidan400,再努把力！~,任务完成的不错，继续努力吧！,8000,4500,,,,0,0,0,0,null,null
99,n,解救,杀死妖魔监军，释放200个俘虏，拿20条监军的皮鞭找姬旦复命,36,,人类,,,,muye/jidan400,find,,每个妖魔监军看管10个俘虏，只需要你释放200个俘虏，得到监军的10条皮鞭，你就立了大功了,,监军的皮鞭:10,,,muye/jidan400,活生生的人等着你救呢，在这儿晃悠什么？！,代表俘虏们感谢你！,10000,3000,,,,0,0,0,0,null,null
100,n,刺杀,杀死长剑妖将拿回盗走的兵书15部，杀死毒妖得到毒谱15部,37,,人类,,,,muye/jidan400,find,,长剑妖将偷了我们的兵书，毒妖窃了我们密室里的毒谱，你快去找回来~,,兵书:15|毒谱:15,,,muye/jidan400,这些书对我们很重要，你快去拿回来！,真是太感谢你了:),15000,4000,,,,0,0,0,0,null,null
101,n,简单任务,杀死重甲妖兵20名、妖兵俘虏20名、小妖兵20名后找姬旦复命,38,,人类,,,,muye/jidan400,kill,,这个任务比较简单，是历练你的时候了，快去吧！,重甲妖兵:20|妖兵俘虏:20|小妖兵:20,,,,muye/jidan400,还没完成么？这么简单的任务！,不错，以后会记得你的！,10000,3000,,1,,0,0,0,0,null,null
102,n,伏击,杀死残疾兵卒30名、仙人督军20名，找董天君复命,36,,妖魔,,,,muye/dongtianjun400,kill,,祝你成功！,残疾兵卒:30|仙人督军:20,,,,muye/dongtianjun400,这些都是敌人，别心软放过啊！~,你的经验又多了一些！,10000,3000,,1,,0,0,0,0,null,null
103,n,仙人的灵,去捉30个仙人的灵，落魄仙人和禁锢仙人是你的对手,37,,妖魔,,,,muye/dongtianjun400,find,,这个任务是有点难度，祝你好运！,,仙人的灵:30,,,muye/dongtianjun400,我不喜欢半途而废的人，你快去吧！,完成的很好，给你些钱吧~,10000,3500,,,,0,0,0,0,null,null
104,n,叛徒的信件,找到昆仑俘虏和昆仑劳役身上的叛徒的信件10封，回来找董天君复命,38,,妖魔,,,,muye/dongtianjun400,find,,昆仑俘虏和昆仑劳役中有背弃妖道的叛徒，他们有串谋的信件，你去搜来！~,,叛徒的信件:10,,,muye/dongtianjun400,继续努力吧！,完成的不错，年轻人真是不一样啊！,15000,4000,,,,0,0,0,0,null,null
105,n,造反派,杀死珊瑚虫骸、尖刺海松、千头虫、三刀海龟精、红树精各20名，找南海龙王复命,41,,,,,,waihai/nanhailongwang400,kill,,珊瑚虫骸、尖刺海松、千头虫、三刀海龟精、红树精联合起来，要造反，快去消灭他们！,珊瑚虫骸:20|尖刺海松:20|千头虫:20|三刀海龟精:20|红树精:20,,,,waihai/nanhailongwang400,再不去都打到龙宫了！,真是太感谢你了:),20000,6000,,,,0,0,0,0,null,null
106,n,飘逸的发带,从紫海带精身上取得20条紫色发带，从钉刺海葵那里找到20颗蓝色的心,39,,,,,,waihai/nanhaiwangfei400,find,,我非常喜欢紫海带精的紫色发带，要是还能装饰上钉刺海葵的蓝色闪光的心就太完美了，你去给我找来吧~,,紫色发带:20|蓝色的心:20,,,waihai/nanhaiwangfei400,这件事非常简单，快去快回吧！,发带真是太漂亮了，装饰上蓝色的心更是美丽！太谢谢你了！,10000,4000,,,,0,0,0,0,null,null
107,n,华丽的外衣,杀死骷髅妖象、龙纹海狮、千孔花斑海豹得到他们的皮，各3张；找到刺背海獭取下他们的毛发，3撮；杀死藻类，得到绿冰晶21颗；杀死银顶巨鲸，得到银色精华9瓶；杀死毒裙花菜，扯下1条裙状蕾丝；杀死青眼蟹妖，得到他们的青眼3颗,42,,,,,,waihai/nanhaiwangfei400,find,,我要给龙王、我和我们的孩子各做一件外衣，需要的材料比较多:要骷髅妖象的皮、龙纹海狮的龙纹皮、千孔花斑海豹的花斑皮，各3张；刺背海獭的银色毛发3撮；藻类的绿冰晶21颗；银顶巨鲸身上的银色精华9瓶；1条毒裙花菜的裙状蕾丝；3颗青眼蟹妖的青眼。任务艰巨，我不会亏待你的！,,海象的皮:3|龙纹皮:3|花斑皮:3|银色毛发:3|绿冰晶:21|银色精华:9|裙状蕾丝:1|青眼:3,,,waihai/nanhaiwangfei400,成全我做贤妻良母的愿望吧！,真是太感谢你了:)这些钱都给你！,200000,15000,,,,0,0,0,0,null,null
108,n,蠕动的尸体,杀死海狗腐尸，取来他们身上的尸虫13条,43,,,,,,waihai/longxuhu400,find,,这些海狗腐尸太碍眼了，不过他们身上的尸虫有助于我的修行，你去找些给我。,,尸虫:13,,,waihai/longxuhu400,快去快回！别让我废话！,完成的不错，我的修炼又可以发展了！太感谢你了！,20000,5000,,,111,0,0,0,0,null,null
109,n,美味的晚餐,杀死魔天影鲨，得到他们的黑色鱼翅10个；红袍龙虾的虾肉15个；晶刺水母透明的水母皮20个；黑背海马卷曲的尾巴20个,43,,,,,,waihai/longxuhu400,find,,饿得太快了，今天就吃些海里的东西，你去给我找些东西吧。魔天影鲨的黑色鱼翅10个；红袍龙虾的虾肉15个；晶刺水母透明的水母皮20个；黑背海马卷曲的尾巴20个,,黑色鱼翅:10|虾肉:15|水母皮:20|卷曲的尾巴:20,,,waihai/longxuhu400,你想饿死我？快去！！,饱餐一顿，哈哈，谢谢你！,30000,5500,,,111,0,0,0,0,null,null
110,n,复活的鱿鱼,杀死巨毒鱿鱼，得到他们红色巨爪20条,44,,,,,,waihai/longxuhu400,find,,那些巨爪毒鱿总来捣乱，杀了它们，砍下红色巨爪，这样它们就不能复活了，那些爪子放到仓库里当粮食。,,红色巨爪:20,,,waihai/longxuhu400,这件事情并不困难，快去吧！,做的不错，继续努力吧！,30000,5000,,,111,0,0,0,0,null,null
111,n,龙须虎的要求,去北海龙宫找龙须虎，看看他有什么要求。,43,,,,,,waihai/nanhailongwang400,send,,去北海龙宫找龙须虎，听说他最近有些事情找你，去问问他吧！,,,,,waihai/longxuhu400,快去找他吧！,我还真有些事情要你做！,20000,4000,,,,0,0,0,0,null,null
112,n,幽静山林,杀死林间幻影、林间游荡者、游移惊魂各20名，找伏羲复命,45,,妖魔,,,,fuxishan/fuxizuoqi400,kill,,这些无聊的人总来捣乱，快去杀了他们！,林间幻影:20|林间游荡者:20|游移惊魂:20,,,,fuxishan/fuxizuoqi400,任务没完成别来见我！,干的不错！,31000,4500,,,,0,0,0,0,null,null
113,n,麻痹,杀死伏羲美女蛇，得到她们魅惑的眼睛20颗,45,,妖魔,,,,fuxishan/fuxizuoqi400,find,,听说最近山里出现了美女蛇，专门魅惑行人，你去把她们的眼睛带来,,魅惑的眼睛:20,,,fuxishan/fuxizuoqi400,任务没完成别来见我！,干的不错，这些给你当作报酬！,31000,5000,,,,0,0,0,0,null,null
114,n,御寒,杀死秃背恶狼得到狼皮20张，杀死凶猛山鹰得到坚硬的喙20个,45,,妖魔,,,,fuxishan/fuxizuoqi400,find,,未雨绸缪，开始准备过冬物资，杀了恶狼和山鹰得到我想要的,,狼皮:20|鹰喙:20,,,fuxishan/fuxizuoqi400,现在不准备就晚了！快去！,这些你拿着吧，继续努力！,31000,5500,,,,0,0,0,0,null,null
115,n,劳工的锄头,杀死伏羲劳工，抢夺他们手里的锄头15枚,46,,妖魔,,,,fuxishan/fuxizuoqi400,find,,那些劳工不好好工作，净研究巫术，他们的锄头是法宝，给我抢来,,带符咒的锄头:15,,,fuxishan/fuxizuoqi400,还不快去，别在这混日子,这些你拿着吧，继续努力！,32000,6000,,,,0,0,0,0,null,null
116,n,灵魂,杀死伏羲朝拜者和深山求仙者得到他们虔诚的灵魂15个，杀死伏羲迷途者得到混浊的灵魂15个,46,,妖魔,,,,fuxishan/fuxizuoqi400,find,,我要虔诚的灵魂和混浊的灵魂各15个，助我清修，快去给我找来吧！,,虔诚的灵魂:15|混浊的灵魂:15,,,fuxishan/fuxizuoqi400,为了伟大的伏羲，快去吧！,随便给你点儿钱吧,32000,6500,,,,0,0,0,0,null,null
117,n,杀魂,杀死劳工恶灵30名，找伏羲复命,46,,妖魔,,,,fuxishan/fuxizuoqi400,kill,,这些劳工阴魂不散，死了也不安宁！给我彻底消灭他们！,劳工恶灵:30,,,,fuxishan/fuxizuoqi400,快去快回！,干的不错！,32000,6500,,,,0,0,0,0,null,null
118,n,远攻,杀死深山猎人30名，找伏羲复命,47,,妖魔,,,,fuxishan/fuxizuoqi400,kill,,深山猎人跟我们分享山里的资源，消灭他们！,深山猎人:30,,,,fuxishan/fuxizuoqi400,为了伟大的伏羲，快去吧！,干的不错！,33000,7000,,,,0,0,0,0,null,null
119,n,贼心,杀死伏羲山贼，得到他们丑陋的心15颗,47,,妖魔,,,,fuxishan/fuxizuoqi400,find,,伏羲山贼掠夺我们的财物，诛杀他们，带回那丑陋的心！,,丑陋的心:15,,,fuxishan/fuxizuoqi400,还没完成？快去快回！,为了伟大的伏羲，谢谢！,33000,7500,,,,0,0,0,0,null,null
120,n,帽缨,杀死伏羲护卫，得到他们头盔上的蓝色帽缨20条,47,,妖魔,,,,fuxishan/fuxizuoqi400,find,,我已经察觉伏羲护卫有异心，那些叛徒死后帽缨变成蓝色，去吧！宁枉勿纵！,,蓝色帽缨:20,,,fuxishan/fuxizuoqi400,证明你的时候到了，快去快回！,你真是个可用之才！,33000,8000,,,,0,0,0,0,null,null
121,n,苦修者精神,杀死深山苦修者，得到他们的精神石20颗,48,,妖魔,,,,fuxishan/fuxizuoqi400,find,,最近需要补充精神，那些苦修者幻化的精神石是最好的宝贝了，快去拿来！,,精神石:20,,,fuxishan/fuxizuoqi400,表明你忠心的时刻来了，快去！,你让我感觉好多了！谢谢！,34000,8500,,,,0,0,0,0,null,null
122,n,叛徒的火种,杀死伏羲变异哨兵，抢夺他们手里的火种15个,48,,妖魔,,,,fuxishan/fuxizuoqi400,find,,我的哨所怎么会有那么恶心的家伙，滥用他们手中的火种点燃烽火，快去杀死他们，把火种抢回来！,,火种:15,,,fuxishan/fuxizuoqi400,为了伏羲山，快去吧！,干得不错！我们会铭记你的！,34000,9000,,,,0,0,0,0,null,null
123,n,守卫不守,杀死伏羲山林守卫30名，找伏羲复命,48,,妖魔,,,,fuxishan/fuxizuoqi400,kill,,当山林守卫不再效忠……,伏羲山林守卫:30,,,,fuxishan/fuxizuoqi400,杀死那些叛徒！,不错！,34000,9500,,,,0,0,0,0,null,null
124,n,护牌,杀死伏羲精兵，得到他们的身上的护牌20个,49,,妖魔,,,,fuxishan/fuxizuoqi400,find,,枉费我养了这帮败类！拿着护牌随意出入！你去把护牌给我收回来！,,精兵护牌:20,,,fuxishan/fuxizuoqi400,速去速回吧！,干的很好！辛苦你了！,35000,10000,,,,0,0,0,0,null,null
125,n,伪装,杀死深山潜伏者和深山藏匿者，得到他们赖以隐身的长袍25件,49,,妖魔,,,,fuxishan/fuxizuoqi400,find,,这些藏匿者和潜伏者是我的心头大患，隐身长袍确实有研究价值，你去取来！,,隐身长袍:25,,,fuxishan/fuxizuoqi400,让你办的事情还没好么？,差强人意，这些给你当奖赏吧！,35000,15000,,,,0,0,0,0,null,null
126,n,守护,杀死伏羲精兵、深山苦修者、伏羲山林守卫、伏羲变异哨兵、深山潜伏者、深山藏匿者各20名,49,,妖魔,,,,fuxishan/fuxizuoqi400,kill,,守卫伏羲山的重任就交给你了！快去吧！,伏羲精兵:20|深山苦修者:20|伏羲山林守卫:20|伏羲变异哨兵:20|深山潜伏者:20|深山藏匿者:20,,,,fuxishan/fuxizuoqi400,为了伏羲山的和平！,很好！,35000,20000,,,,0,0,0,0,null,null
127,n,寂静山林,杀死山谷幽影、山谷游荡者、黑色巨鹰各20名,45,,人类,,,,yandigu/yandizuoqi400,kill,,这些无聊的人总来捣乱，快去杀了他们！,山谷幽影:20|山谷游荡者:20|黑色巨鹰:20,,,,yandigu/yandizuoqi400,任务没完成别来见我！,干的不错！,31000,4500,,,,0,0,0,0,null,null
128,n,破除伪装,杀死兽身人面妖，得到他们用来伪装的面具20个,45,,人类,,,,yandigu/yandizuoqi400,find,,听说最近山里出现了兽身人面妖，你去杀了他们，取下他们用来伪装的面具,,面具:20,,,yandigu/yandizuoqi400,任务没完成别来见我！,干的不错，这些给你当作报酬！,31000,5000,,,,0,0,0,0,null,null
129,n,御寒,杀死山谷灰豹、山谷银熊，得到豹皮和熊皮各20张,45,,人类,,,,yandigu/yandizuoqi400,find,,未雨绸缪，开始准备过冬物资，杀了恶狼和银熊得到我想要的,,豹皮:20|熊皮:20,,,yandigu/yandizuoqi400,现在不准备就晚了！快去！,这些你拿着吧，继续努力！,31000,5500,,,,0,0,0,0,null,null
130,n,苦力的锄头,杀死山谷苦力，抢夺他们手里的锄头15枚,46,,人类,,,,yandigu/yandizuoqi400,find,,那些苦力不好好工作，净研究巫术，他们的锄头是法宝，给我抢来,,带符咒的锄头:15,,,yandigu/yandizuoqi400,还不快去，别在这混日子,这些你拿着吧，继续努力！,32000,6000,,,,0,0,0,0,null,null
131,n,杀魂,杀死苦力恶灵、山谷幽魂各20名,46,,人类,,,,yandigu/yandizuoqi400,kill,,这些苦力阴魂不散，死了也不安宁！给我彻底消灭他们！,苦力恶灵:20|山谷幽魂:20,,,,yandigu/yandizuoqi400,为了伟大的炎帝，快去吧！,随便给你点儿钱吧,32000,6500,,,,0,0,0,0,null,null
132,n,灵魂,杀死山谷游荡者，得到混浊的灵魂15个；杀死山谷求仙者，得到虔诚的灵魂15个,46,,人类,,,,yandigu/yandizuoqi400,find,,我要虔诚的灵魂和混浊的灵魂各15个，助我清修，快去给我找来吧！,,混浊的灵魂:15|虔诚的灵魂:15,,,yandigu/yandizuoqi400,快去快回！,干的不错！,32000,6500,,,,0,0,0,0,null,null
133,n,无神的眼睛,杀死山谷监工，得到他们无神的眼睛20个,47,,人类,,,,yandigu/yandizuoqi400,find,,这帮监工都瞎了眼睛，跑了那么多苦工！去杀了他们，取得无神的眼睛！,,无神的眼睛:20,,,yandigu/yandizuoqi400,为了伟大的炎帝，快去吧！,干的不错！,33000,7000,,,,0,0,0,0,null,null
134,n,迷茫的心,杀死山谷迷途者，得到他们迷茫的心15颗,47,,人类,,,,yandigu/yandizuoqi400,find,,迷途者迷茫的心是我修炼必不可少的东西，你去找来！,,迷茫的心:15,,,yandigu/yandizuoqi400,还没完成？快去快回！,为了伟大的伏羲，谢谢！,33000,7500,,,,0,0,0,0,null,null
135,n,杀戮,杀死山谷监工、山谷迷途者各20名,47,,人类,,,,yandigu/yandizuoqi400,kill,,这群败类！,山谷监工:20|山谷迷途者:20,,,,yandigu/yandizuoqi400,证明你的时候到了，快去快回！,你真是个可用之才！,33000,8000,,,,0,0,0,0,null,null
136,n,苦修者精神,杀死山谷苦修者，得到他们幻化的精神石20颗,48,,人类,,,,yandigu/yandizuoqi400,find,,最近需要补充精神，那些苦修者幻化的精神石是最好的宝贝了，快去拿来！,,精神石:20,,,yandigu/yandizuoqi400,表明你忠心的时刻来了，快去！,你让我感觉好多了！谢谢！,34000,8500,,,,0,0,0,0,null,null
137,n,路线,杀死逃逸苦力，得到他们逃逸路线图15张,48,,人类,,,,yandigu/yandizuoqi400,find,,监工和苦力串通，苦力逃脱不少，去杀了他们，抢回逃逸地图！,,逃逸路线图:15,,,yandigu/yandizuoqi400,为了炎帝谷，快去吧！,干得不错！我们会铭记你的！,34000,9000,,,,0,0,0,0,null,null
138,n,铲除,杀死山谷猎人、炎帝追随者各20名,48,,人类,,,,yandigu/yandizuoqi400,kill,,这群败类！,山谷猎人:20|炎帝追随者:20,,,,yandigu/yandizuoqi400,让你办的事情还没好么？,不错！,34000,9500,,,,0,0,0,0,null,null
139,n,护牌,杀死炎帝精兵和炎帝步兵，得到他们身上的护牌25个,49,,人类,,,,yandigu/yandizuoqi400,find,,枉费我养了这帮败类！拿着护牌随意出入！你去把护牌给我收回来！,,护牌:25,,,yandigu/yandizuoqi400,杀死那些叛徒！,干的很好！辛苦你了！,35000,10000,,,,0,0,0,0,null,null
